question,answer
who is the ghost that haunts the dungeons at hogwarts?,the ghost's name is the bloody baron.
what is the name of the potion that makes the drinker lucky for a short period of time?,the potion is called felix felicis.
what is the name of the magical creature that can transform into anyone's worst fear?,the creature is called a boggart.
what is the name of the enchanted ceiling in the great hall at hogwarts that reflects the weather outside?,the ceiling is called the enchanted ceiling.
who is the defense against the dark arts teacher in harry's third year at hogwarts?,the teacher's name is professor remus lupin.
what is the name of the magical object that allows the user to see into the past?,the object is called the time-turner.
what is the name of the weasley family's house?,the house is called the burrow.
who is the house-elf who serves the crouch family?,the house-elf's name is winky.
what is the name of the magical creature that guards gringotts wizarding bank?,the creature is called a ukrainian ironbelly.
what is the name of the spell that creates a temporary barrier against dark creatures?,the spell is called "expecto patronum."
what is the name of the magical object that holds seven fragments of voldemort's soul?,the object is called a horcrux.
who is the head of the department of magical law enforcement at the ministry of magic?,the head is amelia bones.
what is the name of the shop in hogsmeade that sells joke items and magical pranks?,the shop is called zonko's joke shop.
who is the ghost that haunts the bathroom on the second floor of hogwarts?,the ghost's name is moaning myrtle.
what is the name of the magical object that allows the user to listen to conversations happening elsewhere?,the object is called the extendable ear.
what is the name of the potion that causes the drinker to obey the commands of the person who gave it to them?,the potion is called the imperius curse.
what is the name of the spell that creates a beam of light that can be used to illuminate dark areas?,the spell is called "nox."
what is the name of the magical object that allows the user to store memories and thoughts?,the object is called a pensieve.
who is the ghost that haunts the gryffindor common room at hogwarts?,the ghost's name is nearly headless nick.
what is the name of the magical creature that guards the entrance to the common room of gryffindor house at hogwarts?,the creature is called the fat lady.
what is the name of the magical object that allows the user to become invisible?,the object is called the invisibility cloak.
what is the name of the spell that immobilizes the target?,the spell is called "petrificus totalus."
who is the head of slytherin house at hogwarts?,the head is severus snape.
what is the name of the magical object that allows the user to travel instantly from one place to another?,the object is called a portkey.
what is the name of the spell that allows the user to control the movement of an object?,the spell is called "wingardium leviosa."
what is the name of the magical creature that resembles a large, hairy spider?,the creature is called an acromantula.
what is the name of the magical object that reveals hidden messages written in invisible ink?,the object is called the revealer.
what is the name of the magical creature that resembles a small, winged horse?,the creature is called a hippogriff.
what is the name of the spell that produces fire from the tip of the wand?,the spell is called "incendio."
what is the name of the magical object that allows the user to communicate with others over long distances?,the object is called a two-way mirror.
what is the name of the wizarding hospital where injured and sick wizards and witches are treated?,the hospital is called st. mungo's hospital for magical maladies and injuries.
what is the name of the magical creature that is invisible to anyone who has not witnessed death?,the creature is called a thestral.
who is the head of ravenclaw house at hogwarts?,the head is filius flitwick.
what is the name of the potion that allows the drinker to breathe underwater?,the potion is called gillyweed.
what is the name of the magical object that allows the user to see through solid objects?,the object is called the deluminator.
what is the name of the creature that harry potter faces during the third task of the triwizard tournament?,the creature is called a blast-ended skrewt.
what is the name of the magical object that allows the user to store and transport items in a small space?,the object is called a beaded bag.
who is the head of hufflepuff house at hogwarts?,the head is pomona sprout.
what is the name of the magical object that allows the user to see into the future?,the object is called a crystal ball.
what is the name of the potion that causes the drinker to fall into a deep sleep?,the potion is called the draught of living death.
what is the name of the magical creature that resembles a small, glowing ball of light?,the creature is called a will-o'-the-wisp.
what is the name of the spell that conjures a small, glowing light?,the spell is called "lumos."
who is the head of gryffindor house at hogwarts?,the head is minerva mcgonagall.
what is the name of the magical object that reveals the hidden entrance to the room of requirement?,the object is called the vanishing cabinet.
what is the name of the potion that allows the drinker to transform into an animal?,the potion is called the animagus potion.
what is the name of the magical object that allows the user to see invisible creatures?,the object is called the spectrespecs.
who is the ghost that haunts the library at hogwarts?,the ghost's name is the grey lady.
what is the name of the spell that causes the target to become momentarily frozen in place?,the spell is called "immobilus."
what is the name of the wizarding prison where sirius black was held?,the prison is called azkaban
bravery,ahh you sound like a griffyndor to me.
loyalty,hufflepuff is the one for you.
ambition,salazar slytherin beckons you to join his house.
intelligence,ravenclaw would be perfect for a young wizard like you.
i want to use my voice,command1.
can i speak,command1.
use voice,command1.
voice command,command1.
use voice command,command1.
can i check a fact,command2.
can i verify something,command2.
is this fact correct,command2.
check this,command2.
verify this,command2.
check something,command2.
can you learn this,command3.
can you teach yourself this,command3.
learn this,command3.
teach yourself this,command3.
let me do an image search,command4.
can i check which spell this is,command4.
let me search by image,command4.
let me search the spells,command4.
let me check my spell,command4.
scan my image,command4.
i want you to scan my image,command4.
check this image,command4.
can you scan my image,command4.
can you scan this image,command4.
scan my image,command4.
hermione granger is a wizard,contradiction found: she is a witch.
